method,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
conformal_filter_only,10,0.344417,0.004425,0.110029,0.002347,0.547309,0.009541,0.013889,0.001479,0.060503,0.003450,0.138360,0.001812,0.564462,0.003251,-0.078929,0.003562,0.409809,0.010112,0.616233,0.009867
full_risk_bounded_typed_disagreement_protocol_v5,10,0.587426,0.001542,0.117251,0.001210,0.538194,0.009159,0.493750,0.007663,0.007726,0.001147,0.194011,0.001212,0.291943,0.003260,0.193590,0.003430,0.519531,0.007744,0.999653,0.000278
no_fixed_risk_budget,10,0.628624,0.001371,0.081663,0.000403,0.540538,0.008029,0.668924,0.004630,0.022830,0.002892,0.224291,0.000670,0.195177,0.001714,0.290356,0.001942,0.727517,0.004202,0.992708,0.001394
no_probe_action,10,0.594990,0.002393,0.114208,0.001937,0.532292,0.009221,0.232986,0.005729,0.007031,0.001467,0.183488,0.001317,0.270282,0.005485,0.215252,0.005708,0.518316,0.010397,0.999826,0.000227
no_protocol_cost_model,10,0.553708,0.001736,0.133339,0.001160,0.541059,0.011212,0.456597,0.004819,0.008681,0.001846,0.189922,0.000807,0.358116,0.003504,0.127417,0.003794,0.475955,0.005060,1.000000,0.000000
no_recovery_branch,10,0.570444,0.001294,0.120616,0.001275,0.539583,0.007460,0.418403,0.007070,0.006944,0.001997,0.190154,0.001251,0.313666,0.003101,0.171867,0.003172,0.510851,0.007985,0.999479,0.000454
no_type_classifier,10,0.539885,0.001993,0.148192,0.001241,0.544705,0.012669,0.192448,0.005266,0.043056,0.003319,0.166814,0.000973,0.388841,0.003916,0.096692,0.004209,0.361111,0.006987,0.998177,0.000780
no_value_of_information_gate,10,0.593468,0.001845,0.106902,0.001177,0.547135,0.007294,0.573090,0.007625,0.014063,0.001337,0.207701,0.001005,0.272641,0.003650,0.212892,0.003752,0.603385,0.006626,1.000000,0.000000
recovery_only_protocol,10,0.614726,0.000911,0.105631,0.000767,0.550608,0.011229,0.074045,0.001998,0.100434,0.002325,0.167766,0.001057,0.220919,0.001977,0.264614,0.001952,0.571354,0.006714,0.998698,0.000634
v4_protocol_rules,10,0.628781,0.001342,0.081408,0.000535,0.538281,0.008161,0.669531,0.003905,0.022049,0.002271,0.224230,0.000661,0.194684,0.002132,0.290850,0.002153,0.727431,0.004487,0.991493,0.001453
