seed,method,risk_budget,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
0,bayesian_active_model_selection,0.000000,48,0.447861,0.027821,0.064114,0.008257,0.350694,0.056913,0.475694,0.094796,0.211806,0.106875,0.235682,0.006658,0.369901,0.030238,0.086070,0.031383,0.909722,0.032198,0.746528,0.055012
0,bayesian_active_model_selection,0.020000,48,0.466392,0.028670,0.076842,0.010860,0.371528,0.048864,0.482639,0.098826,0.180556,0.094718,0.223743,0.010479,0.361848,0.032959,0.094122,0.032835,0.836806,0.055440,0.788194,0.048378
0,bayesian_active_model_selection,0.050000,48,0.488162,0.030042,0.081082,0.011310,0.406250,0.065178,0.506944,0.100119,0.170139,0.088872,0.220506,0.009497,0.337973,0.034892,0.117997,0.036108,0.822917,0.052744,0.829861,0.050996
0,bayesian_active_model_selection,0.080000,48,0.525072,0.025968,0.097163,0.012613,0.381944,0.057508,0.545139,0.106431,0.128472,0.082094,0.206802,0.014008,0.308517,0.030759,0.147454,0.029673,0.746528,0.079011,0.913194,0.035055
0,bayesian_active_model_selection,0.100000,48,0.528878,0.024143,0.092819,0.012054,0.333333,0.049595,0.527778,0.097910,0.131944,0.078992,0.208010,0.012398,0.296763,0.027625,0.159207,0.026386,0.770833,0.072541,0.909722,0.036339
0,bayesian_active_model_selection,0.150000,48,0.554724,0.025120,0.099121,0.010299,0.343750,0.056217,0.562500,0.100904,0.111111,0.069687,0.202852,0.012932,0.270476,0.026886,0.185494,0.026630,0.736111,0.075235,0.958333,0.024797
0,conformal_risk_filter,0.000000,48,0.106281,0.018108,0.013218,0.004248,0.135417,0.042011,0.000000,0.000000,0.211806,0.106431,0.231757,0.005741,0.739610,0.027106,-0.283639,0.023618,0.920139,0.029162,0.097222,0.034843
0,conformal_risk_filter,0.020000,48,0.119252,0.019265,0.026840,0.010148,0.142361,0.046635,0.000000,0.000000,0.201389,0.101992,0.222409,0.008120,0.740898,0.026645,-0.284928,0.022289,0.864583,0.043122,0.138889,0.043859
0,conformal_risk_filter,0.050000,48,0.123659,0.020577,0.026644,0.009474,0.173611,0.042350,0.000000,0.000000,0.190972,0.096281,0.221062,0.008586,0.732824,0.026289,-0.276853,0.022688,0.857639,0.045610,0.149306,0.045868
0,conformal_risk_filter,0.080000,48,0.163439,0.022394,0.027854,0.006057,0.187500,0.053826,0.038194,0.029565,0.184028,0.092906,0.219760,0.006685,0.681810,0.032028,-0.225840,0.027817,0.871528,0.037970,0.208333,0.040688
0,conformal_risk_filter,0.100000,48,0.200033,0.030021,0.037264,0.008601,0.180556,0.044395,0.055556,0.035516,0.173611,0.090700,0.212142,0.009198,0.645307,0.038509,-0.189336,0.035706,0.840278,0.049555,0.277778,0.056991
