method,stress_level,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
bayesian_active_model_selection,0.000000,10,0.602067,0.005002,0.116644,0.003234,0.483681,0.017690,0.502431,0.015849,0.017014,0.004474,0.156771,0.002058,0.307394,0.011102,0.235711,0.010820,0.523264,0.016297,1.000000,0.000000
bayesian_active_model_selection,0.110000,10,0.598306,0.002829,0.116370,0.002001,0.472222,0.014596,0.513889,0.010396,0.020486,0.005016,0.160172,0.001616,0.302223,0.006409,0.230173,0.006263,0.538889,0.012375,1.000000,0.000000
bayesian_active_model_selection,0.220000,10,0.597101,0.004201,0.114427,0.002768,0.445139,0.017770,0.526389,0.013467,0.021875,0.005743,0.164226,0.002032,0.291643,0.009077,0.230327,0.009260,0.556250,0.014232,0.999653,0.000681
bayesian_active_model_selection,0.330000,10,0.595878,0.004413,0.112304,0.002499,0.432639,0.023094,0.539583,0.012557,0.026736,0.004428,0.168356,0.001509,0.280320,0.008660,0.230959,0.008952,0.578125,0.010985,1.000000,0.000000
bayesian_active_model_selection,0.440000,10,0.592862,0.001788,0.111894,0.001282,0.436111,0.016015,0.546181,0.006733,0.031944,0.007911,0.171789,0.001533,0.275634,0.003756,0.226444,0.003769,0.588889,0.010206,1.000000,0.000000
bayesian_active_model_selection,0.560000,10,0.589033,0.004041,0.110945,0.002500,0.415972,0.015612,0.551042,0.010448,0.033333,0.008129,0.175306,0.001852,0.268792,0.008405,0.222241,0.008608,0.602083,0.012012,1.000000,0.000000
bayesian_active_model_selection,0.670000,10,0.583218,0.002619,0.112293,0.002186,0.398958,0.012851,0.554514,0.009839,0.034722,0.004649,0.177420,0.001703,0.269529,0.006202,0.211827,0.006292,0.603125,0.010739,0.999306,0.000907
bayesian_active_model_selection,0.780000,10,0.577893,0.003878,0.112609,0.002678,0.379514,0.021972,0.551042,0.016297,0.038889,0.005898,0.180046,0.002799,0.268846,0.007595,0.203739,0.007887,0.611458,0.017409,0.998264,0.001522
bayesian_active_model_selection,0.890000,10,0.575244,0.003063,0.110825,0.001729,0.363194,0.014319,0.565278,0.013142,0.039583,0.005667,0.184823,0.001394,0.260075,0.006366,0.201746,0.006088,0.631597,0.008870,0.998611,0.001505
bayesian_active_model_selection,1.000000,10,0.568508,0.003711,0.111785,0.002613,0.368403,0.018911,0.563889,0.013732,0.038194,0.005649,0.186748,0.002510,0.261045,0.007690,0.191552,0.007793,0.633681,0.015855,0.998611,0.001111
conformal_risk_filter,0.000000,10,0.312536,0.013066,0.079572,0.003714,0.254514,0.014633,0.023958,0.005315,0.076042,0.008394,0.159287,0.003828,0.625371,0.013738,-0.082266,0.013815,0.531944,0.019901,0.507986,0.024116
conformal_risk_filter,0.110000,10,0.288172,0.009499,0.070976,0.003746,0.256944,0.020061,0.030556,0.004033,0.095486,0.007809,0.169464,0.003328,0.638469,0.008815,-0.106073,0.009316,0.589583,0.018171,0.456944,0.019361
conformal_risk_filter,0.220000,10,0.274961,0.008496,0.063877,0.003602,0.233681,0.011833,0.039236,0.004310,0.098958,0.010796,0.176501,0.003616,0.637207,0.008392,-0.115237,0.008768,0.632292,0.021146,0.426736,0.017904
conformal_risk_filter,0.330000,10,0.269632,0.008627,0.062348,0.003111,0.229861,0.012784,0.050000,0.006432,0.118750,0.011196,0.180578,0.003267,0.634008,0.009501,-0.122728,0.009453,0.658681,0.018625,0.414583,0.017163
conformal_risk_filter,0.440000,10,0.257019,0.006986,0.058208,0.002908,0.215972,0.019136,0.050694,0.009142,0.129861,0.009364,0.185892,0.002877,0.637457,0.007734,-0.135379,0.007763,0.688889,0.016921,0.389931,0.014738
conformal_risk_filter,0.560000,10,0.245326,0.008279,0.053101,0.004105,0.202083,0.016384,0.056597,0.007991,0.145139,0.008656,0.192489,0.003147,0.637140,0.009458,-0.146108,0.009910,0.729167,0.018346,0.364236,0.016653
conformal_risk_filter,0.670000,10,0.236504,0.010872,0.049766,0.003525,0.204861,0.012671,0.065278,0.005153,0.151736,0.009520,0.197294,0.002999,0.636435,0.011529,-0.155080,0.011669,0.756944,0.015251,0.345486,0.021068
conformal_risk_filter,0.780000,10,0.232887,0.009803,0.047754,0.003313,0.190278,0.013977,0.070139,0.005153,0.154861,0.007469,0.199922,0.002635,0.630759,0.010711,-0.158173,0.010871,0.772222,0.013313,0.336111,0.019797
conformal_risk_filter,0.890000,10,0.226852,0.007404,0.041819,0.002546,0.178819,0.020423,0.088194,0.006745,0.164931,0.011354,0.207092,0.001929,0.622268,0.008513,-0.160446,0.008223,0.817014,0.010046,0.316667,0.014695
conformal_risk_filter,1.000000,10,0.222516,0.011605,0.043380,0.002298,0.164931,0.009088,0.082292,0.008847,0.175000,0.012392,0.207418,0.002722,0.621731,0.014616,-0.169134,0.015075,0.815972,0.014702,0.313542,0.020594
failure_aware_rl_recovery,0.000000,10,0.692340,0.001815,0.093239,0.001426,0.289236,0.014668,0.125000,0.001015,0.021528,0.004737,0.167833,0.001157,0.182174,0.003427,0.369732,0.003901,0.532639,0.010356,1.000000,0.000000
failure_aware_rl_recovery,0.110000,10,0.689501,0.002912,0.091896,0.002136,0.295486,0.015468,0.125347,0.000681,0.023958,0.004588,0.171967,0.001953,0.175073,0.006114,0.366953,0.006317,0.555208,0.015300,1.000000,0.000000
failure_aware_rl_recovery,0.220000,10,0.687168,0.002168,0.090929,0.001718,0.270833,0.021994,0.125000,0.000000,0.037500,0.006637,0.176613,0.001678,0.168826,0.005077,0.363495,0.004754,0.578819,0.012714,1.000000,0.000000
failure_aware_rl_recovery,0.330000,10,0.684808,0.002079,0.088836,0.001670,0.225000,0.016321,0.125000,0.001435,0.043403,0.005392,0.181989,0.001467,0.160621,0.004473,0.361976,0.004667,0.608333,0.011334,1.000000,0.000000
failure_aware_rl_recovery,0.440000,10,0.681765,0.002252,0.089499,0.002036,0.237153,0.013912,0.126042,0.002280,0.051389,0.005538,0.184715,0.002061,0.158389,0.005118,0.355566,0.005060,0.615625,0.015978,1.000000,0.000000
failure_aware_rl_recovery,0.560000,10,0.681720,0.002467,0.085359,0.001503,0.236111,0.012047,0.123958,0.001453,0.073958,0.007663,0.193641,0.001178,0.145301,0.004605,0.358381,0.004960,0.667014,0.008812,1.000000,0.000000
failure_aware_rl_recovery,0.670000,10,0.679532,0.003653,0.084591,0.002451,0.237500,0.020194,0.126736,0.002091,0.085417,0.009029,0.198333,0.002702,0.140098,0.006696,0.354599,0.007278,0.686806,0.018480,1.000000,0.000000
failure_aware_rl_recovery,0.780000,10,0.678382,0.003256,0.082882,0.002369,0.225000,0.020959,0.126389,0.003077,0.089583,0.008476,0.203163,0.002921,0.132790,0.006728,0.353828,0.006415,0.707292,0.019410,1.000000,0.000000
